gene_id	mean_expr	sd_expr	cv
YDR006C	0	0.5201	22102.2463
YGL261C	1e-04	0.5444	10463.7166
YOR353C	0	0.4206	9194.0452
YOL104C	1e-04	0.6915	5808.4863
YBR102C	1e-04	0.3967	3372.0335
YBR136W	-2e-04	0.4687	2702.8935
YJR046W	-3e-04	0.6747	2637.4093
YKL175W	2e-04	0.4614	2599.1769
YDR089W	4e-04	0.5776	1309.1343
YKL114C	-3e-04	0.3757	1076.8693
YOR363C	-6e-04	0.544	913.9406
YNL158W	5e-04	0.3534	734.6884
YHR083W	5e-04	0.3782	714.8464
YDR308C	5e-04	0.3661	666.6056
YDR510W	8e-04	0.4411	580.2077
YDR323C	-9e-04	0.5312	578.9183
YDR174W	-0.001	0.5851	578.4092
YAL018C	-0.0013	0.7341	547.205
YJR108W	-0.0012	0.5375	444.745
YLR094C	-0.0012	0.52	424.5317
YER017C	0.001	0.4424	422.7054
YMR303C	-0.0016	0.6539	418.8206
YNR023W	9e-04	0.3652	417.0653
YNL289W	-0.001	0.4061	406.1431
YOL038W	0.0018	0.6716	375.8255
YJR120W	0.0017	0.5689	337.4389
YBL065W	0.0022	0.7363	335.4168
YPL174C	-0.0021	0.676	329.5969
YJR055W	-0.0016	0.5186	321.7586
YNR035C	-0.0019	0.5946	305.597
YBL051C	-0.0016	0.4697	299.2273
YHR033W	0.0035	0.9666	280.1474
YKL108W	0.0018	0.4712	265.0618
YNL070W	-0.0021	0.5214	249.5681
YNL171C	-0.0013	0.3132	239.1186
YFR020W	-0.0019	0.4401	236.1395
YBR148W	0.0029	0.6504	226.9616
YMR112C	-0.0019	0.4147	222.8995
YGR270W	0.0016	0.3568	221.0775
YBR262C	-0.0022	0.4736	217.5773
YLL043W	0.0015	0.3174	217.0076
YOR357C	-0.0026	0.5624	216.8993
YGL127C	0.0021	0.4566	213.5915
YDR281C	-0.0049	1.0352	210.3932
YER185W	-0.0032	0.6766	210.0234
YPR195C	0.0026	0.5406	209.963
YDL080C	0.0021	0.428	206.1594
YGR180C	0.0038	0.7634	200.1082
YGL210W	0.0023	0.4539	198.5103
YMR031W-A	-0.0036	0.6845	192.626
YHR034C	-0.0033	0.6082	186.8094
YIL161W	-0.0028	0.518	183.4434
YKR007W	0.0023	0.4107	176.9024
YMR289W	-0.0023	0.4039	173.0888
YJR020W	0.0045	0.7599	168.4206
YOL086C	0.0042	0.7049	167.8407
YDL159W	0.0019	0.3094	166.4757
YMR151W	0.0028	0.4473	162.4934
YJL160C	-0.0048	0.7635	159.1056
YDR151C	0.0028	0.4482	157.4395
YMR237W	0.0039	0.6082	155.1871
YNL165W	0.0035	0.5321	153.6965
YPR197C	0.0031	0.4747	151.684
YBR196C	-0.0046	0.6952	151.2727
YDL052C	-0.0038	0.5762	151.2042
YNR050C	0.0075	1.1205	148.9279
YBL098W	0.0036	0.5302	147.567
YDR352W	0.0027	0.4029	146.8932
YPR037C	0.0031	0.4492	146.8611
YMR066W	0.0025	0.3545	144.1172
YPR071W	0.0031	0.4463	143.9933
YPR046W	-0.0032	0.4649	143.2402
YIL138C	0.0047	0.6682	143.0582
YLL059C	-0.0035	0.5019	141.4728
YGR226C	0.0061	0.8641	141.4207
YLR253W	0.0027	0.3844	140.6027
YPL208W	0.0048	0.6545	137.4267
YOR372C	0.0027	0.3724	136.4745
YJR151C	0.0023	0.3065	135.1832
YPL139C	0.0037	0.4865	130.5565
YDR163W	-0.0034	0.435	129.151
YGL215W	-0.0038	0.4804	125.9135
YHR060W	-0.0041	0.5004	123.4748
YNL245C	-0.003	0.3747	123.4589
YLR421C	0.004	0.4828	120.1763
YOR076C	-0.0046	0.556	120.0379
YLR122C	0.0064	0.7671	119.6513
YDR419W	0.004	0.4719	118.8288
YDR051C	-0.0035	0.41	118.5119
YKL203C	-0.004	0.4705	117.9713
YPL218W	0.0041	0.4848	117.592
YGR087C	-0.0076	0.8902	116.8986
YGL086W	0.0043	0.4976	114.986
YOR331C	-0.005	0.5759	114.4978
YFL006W	-0.0042	0.4677	112.6644
